UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10007783,The University of Aberdeen,"54,240","10,623","64,863",,"13,049","2,389",,"80,301"
10007849,Abertay University,"10,566",955,"11,521",,"1,033",170,,"12,724"
10007856,Aberystwyth University,"22,746","7,294","30,040",,"6,162","2,455",,"38,657"
10000163,AECC University College,"2,453",736,"3,189",,276,0,,"3,465"
10000291,Anglia Ruskin University,"50,775","18,957","69,732",,"28,493","3,651",,"101,876"
10007759,Aston University,"41,903","11,325","53,228",,"14,271","2,064",,"69,563"
10007857,Bangor University,"33,265","5,011","38,276",,"7,782",294,,"46,352"
10000571,Bath Spa University,"20,449","4,906","25,355",,"6,158",161,,"31,674"
10007850,The University of Bath,"63,513","15,276","78,789",,"21,642","1,580",,"102,011"
10007152,University of Bedfordshire,"31,570","2,873","34,443",,"14,217","1,152",,"49,812"
10005343,Queen's University Belfast,"82,541","24,239","106,780",,"22,633","2,774",,"132,187"
10007760,Birkbeck College,"35,642","9,468","45,110",,"5,047",109,,"50,266"
10007140,Birmingham City University,"62,506","28,760","91,266",,"18,229",341,,"109,836"
10006840,The University of Birmingham,"173,324","15,232","188,556",,"86,685","9,325",,"284,566"
10000712,University College Birmingham,"17,403",0,"17,403",,"2,794",0,,"20,197"
10007811,Bishop Grosseteste University,"5,781",325,"6,106",,938,1,,"7,045"
10006841,The University of Bolton,"16,909","4,222","21,131",,"10,285",184,,"31,600"
10000385,The Arts University Bournemouth,"8,098","3,081","11,179",,"3,037",406,,"14,622"
10000824,Bournemouth University,"42,243","5,166","47,409",,"13,023",434,,"60,866"
10007785,The University of Bradford,"32,622","7,487","40,109",,"4,489",897,,"45,495"
10000886,The University of Brighton,"65,657","14,210","79,867",,"15,234",852,,"95,953"
10000936,The University College of Osteopathy,"1,883",0,"1,883",,202,16,,"2,101"
10007786,The University of Bristol,"126,508","37,335","163,843",,"55,712","6,196",,"225,751"
10000961,Brunel University London,"50,993","13,023","64,016",,"9,968","5,512",,"79,496"
10000975,Buckinghamshire New University,"13,544","1,747","15,291",,"3,690","1,818",,"20,799"
10007787,The University of Buckingham,"9,060","2,268","11,328",,"9,890",0,,"21,218"
10007788,The University of Cambridge,"166,969","84,951","251,920",,"110,782","9,389",,"372,091"
10003324,The Institute of Cancer Research,"12,168",0,"12,168",,"3,940","1,278",,"17,386"
10001143,Canterbury Christ Church University,"41,430","6,234","47,664",,"9,808",664,,"58,136"
10007814,Cardiff University,"152,207","45,289","197,496",,"75,575","7,899",,"280,970"
10007854,Cardiff Metropolitan University,"27,357","5,037","32,394",,"4,810",437,,"37,641"
10007141,The University of Central Lancashire,"60,070","12,684","72,754",,"17,168","1,029",,"90,951"
10007848,University of Chester,"31,652","7,582","39,234",,"7,211",708,,"47,153"
10007137,The University of Chichester,"16,767","2,299","19,066",,"4,039",277,,"23,382"
10001478,"City, University of London","68,311","19,072","87,383",,"17,065",0,,"104,448"
10001653,Conservatoire for Dance and Drama,0,0,0,,"15,229",0,,"15,229"
10007761,Courtauld Institute of Art,"2,900",0,"2,900",,"1,509",0,,"4,409"
10001726,Coventry University,"79,247","29,682","108,929",,"28,263","2,429",,"139,621"
10007822,Cranfield University,"29,484","21,107","50,591",,"25,379",0,,"75,970"
10006427,University for the Creative Arts,"13,113","5,791","18,904",,"3,751",479,,"23,134"
10007842,University of Cumbria,"18,500","2,934","21,434",,"3,726",309,,"25,469"
10001883,De Montfort University,"55,592","10,174","65,766",,"13,291","2,029",,"81,086"
10007851,University of Derby,"43,795","10,442","54,237",,"17,568","2,300",,"74,105"
10007852,The University of Dundee,"51,370","17,160","68,530",,"12,354","4,354",,"85,238"
10007143,University of Durham,"79,262","18,402","97,664",,"11,950","3,163",,"112,777"
10007789,The University of East Anglia,"73,774","7,939","81,713",,"12,714",844,,"95,271"
10007144,The University of East London,"37,251","3,878","41,129",,"6,082",232,,"47,443"
10007823,Edge Hill University,"39,757","5,635","45,392",,"6,231",982,,"52,605"
10007772,Edinburgh Napier University,"36,537","4,291","40,828",,"7,191","1,178",,"49,197"
10007790,The University of Edinburgh,"197,291","94,832","292,123",,"96,584","5,988",,"394,695"
10007791,The University of Essex,"52,521","11,215","63,736",,"8,858",22,,"72,616"
10007792,The University of Exeter,"101,387","3,123","104,510",,"23,135","2,233",,"129,878"
10008640,Falmouth University,"10,858","5,171","16,029",,"6,759",901,,"23,689"
10004511,The National Film and Television School,"1,849",769,"2,618",,"2,329","1,107",,"6,054"
10007762,Glasgow Caledonian University,"43,467","4,330","47,797",,"5,669",413,,"53,879"
10002681,Glasgow School of Art,"8,756","3,049","11,805",,"2,157",0,,"13,962"
10007794,The University of Glasgow,"115,936","31,150","147,086",,"39,059","4,368",,"190,513"
10007145,University of Gloucestershire,"20,725","5,300","26,025",,"4,946","3,163",,"34,134"
10007833,Glyndŵr University,"10,734",19,"10,753",,"1,366",8,,"12,127"
10002718,Goldsmiths College,"37,659","5,159","42,818",,"3,192",305,,"46,315"
10007146,The University of Greenwich,"46,715","12,999","59,714",,"9,820",342,,"69,876"
10007825,Guildhall School of Music and Drama,"8,199","1,963","10,162",,"1,808",0,,"11,970"
10040812,Harper Adams University,"9,929","1,759","11,688",,"2,747","1,075",,"15,510"
10007764,Heriot-Watt University,"32,833","22,149","54,982",,"16,542","1,048",,"72,572"
10007147,University of Hertfordshire,"66,919","11,946","78,865",,"12,849","1,852",,"93,566"
10007765,Heythrop College,941,0,941,,21,0,,962
10007148,The University of Huddersfield,"46,758","10,371","57,129",,"9,234",838,,"67,201"
10007149,The University of Hull,"52,578","13,277","65,855",,"12,338","1,346",,"79,539"
10003270,"Imperial College of Science, Technology and Medicine","159,523","72,094","231,617",,"69,968","2,751",,"304,336"
10007767,Keele University,"37,108","11,013","48,121",,"9,022",703,,"57,846"
10007150,The University of Kent,"65,980","20,017","85,997",,"12,323","1,488",,"99,808"
10003645,King's College London,"198,031","59,178","257,209",,"30,796","4,437",,"292,442"
10003678,Kingston University,"51,649","11,864","63,513",,"18,500","1,480",,"83,493"
10007768,The University of Lancaster,"65,498","15,725","81,223",,"22,181","4,978",,"108,382"
10003854,Leeds Arts University,"5,439",358,"5,797",,"1,074",393,,"7,264"
10003861,Leeds Beckett University,"53,807","11,484","65,291",,"9,576","1,734",,"76,601"
10007795,The University of Leeds,"171,884","37,876","209,760",,"42,364","5,743",,"257,867"
10003863,Leeds Trinity University,"8,635","1,354","9,989",,"1,696",162,,"11,847"
10007796,The University of Leicester,"78,495","23,518","102,013",,"23,888","1,841",,"127,742"
10007151,The University of Lincoln,"45,853","10,644","56,497",,"8,743",813,,"66,053"
10003956,Liverpool Hope University,"15,691","1,702","17,393",,"2,140",229,,"19,762"
10003957,Liverpool John Moores University,"71,465","11,841","83,306",,"15,272","2,480",,"101,058"
10003945,The Liverpool Institute for Performing Arts,"2,813",884,"3,697",,554,0,,"4,251"
10006842,The University of Liverpool,"140,324","36,181","176,505",,"54,138","4,706",,"235,349"
10003958,Liverpool School of Tropical Medicine,"8,046","4,479","12,525",,"133,281",0,,"145,806"
10007162,"University of the Arts, London","50,093","70,281","120,374",,"19,856",0,,"140,230"
10007769,London Business School,"33,483",0,"33,483",,"24,308",0,,"57,791"
10007797,University of London (Institutes and activities),"3,982","4,776","8,758",,"3,228",235,,"12,221"
10004048,London Metropolitan University,"24,018","1,510","25,528",,"2,634","2,144",,"30,306"
10004078,London South Bank University,"39,544","8,233","47,777",,"8,078",0,,"55,855"
10004063,London School of Economics and Political Science,"96,603","21,617","118,220",,"16,396",0,,"134,616"
10007771,London School of Hygiene and Tropical Medicine,"17,446","5,709","23,155",,"9,004",0,,"32,159"
10004113,Loughborough University,"69,272","18,048","87,320",,"12,579","2,990",,"102,889"
10004180,The Manchester Metropolitan University,"94,344","9,101","103,445",,"18,354",710,,"122,509"
10007798,The University of Manchester,"216,176","83,434","299,610",,"85,964","7,332",,"392,906"
10004351,Middlesex University,"65,878","2,959","68,837",,"10,782",783,,"80,402"
10007799,Newcastle University,"128,944","30,541","159,485",,"44,914","4,621",,"209,020"
10007832,Newman University,"8,286","1,137","9,423",,"2,016",411,,"11,850"
10007138,The University of Northampton,"34,170","3,770","37,940",,"18,278","5,452",,"61,670"
10001282,University of Northumbria at Newcastle,"78,023","8,199","86,222",,"13,916","3,529",,"103,667"
10004775,Norwich University of the Arts,"4,100",9,"4,109",,307,3,,"4,419"
10007154,University of Nottingham,"159,448","33,482","192,930",,"69,265","4,030",,"266,225"
10004797,The Nottingham Trent University,"81,660","20,861","102,521",,"20,343","2,196",,"125,060"
10007773,The Open University,"117,639","31,177","148,816",,"20,211",351,,"169,378"
10004930,Oxford Brookes University,"48,417","13,881","62,298",,"17,550",902,,"80,750"
10007774,The University of Oxford,"200,757","95,675","296,432",,"156,230","35,645",,"488,307"
10005127,Plymouth College of Art,"4,613",0,"4,613",,"1,401",0,,"6,014"
10007801,University of Plymouth,"69,107","18,537","87,644",,"17,190","3,859",,"108,693"
10007155,The University of Portsmouth,"73,500","24,658","98,158",,"25,265","1,962",,"125,385"
10005337,"Queen Margaret University, Edinburgh","11,614",552,"12,166",,875,26,,"13,067"
10007775,Queen Mary University of London,"112,343","34,213","146,556",,"33,192","2,832",,"182,580"
10005389,Ravensbourne University London,"6,311",254,"6,565",,597,307,,"7,469"
10007802,The University of Reading,"66,798","21,702","88,500",,"25,266","1,839",,"115,605"
10005500,Robert Gordon University,"28,769","6,412","35,181",,"5,706",604,,"41,491"
10007776,Roehampton University,"36,981","10,382","47,363",,"9,343",264,,"56,970"
10005523,Rose Bruford College of Theatre and Performance,"2,292",369,"2,661",,"1,104",58,,"3,823"
10007835,Royal Academy of Music,"6,093","1,188","7,281",,"1,604",282,,"9,167"
10005545,Royal Agricultural University,"3,392",489,"3,881",,"2,024",6,,"5,911"
10007777,Royal College of Art,"6,765","1,558","8,323",,"5,662",0,,"13,985"
10007778,Royal College of Music,"5,768","1,486","7,254",,947,313,,"8,514"
10005561,Royal Conservatoire of Scotland,"9,347","2,745","12,092",,"1,888",120,,"14,100"
10007816,The Royal Central School of Speech and Drama,"5,365",0,"5,365",,"1,591",1,,"6,957"
10005553,Royal Holloway and Bedford New College,"50,856","6,187","57,043",,"10,937",949,,"68,929"
10007837,Royal Northern College of Music,"6,326",907,"7,233",,"1,271",0,,"8,504"
10007779,The Royal Veterinary College,"11,630","2,630","14,260",,"3,933",20,,"18,213"
