UKPRN,Provider Name,"Managers, directors and senior officials",Professional occupations,Associate professional and technical occupations,Total high skilled,Administrative and secretarial occupations,Skilled trades occupations,"Caring, leisure and other service occupations",Total medium skilled,Sales and customer service occupations,"Process, plant and machine operatives",Elementary occupations,Total low skilled,Unknown,Total
10008071,AA School of Architecture,0,5,35,40,0,0,0,0,0,0,0,0,0,40
10007783,The University of Aberdeen,15,345,115,480,55,10,20,85,40,5,30,75,0,640
10000055,Abingdon and Witney College,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007849,Abertay University,10,85,65,155,25,5,20,50,40,0,15,55,0,260
10007856,Aberystwyth University,15,155,140,310,50,15,55,115,60,5,65,130,0,560
10000093,Accrington and Rossendale College,0,5,10,15,0,0,5,5,0,0,0,0,0,20
10000248,Academy of Live and Recorded Arts,0,0,10,10,0,0,0,0,0,0,5,5,0,15
10004927,Activate Learning,0,0,5,5,0,0,0,0,5,0,0,5,0,10
10000163,AECC University College,0,10,5,15,0,0,0,0,0,0,0,0,0,15
10000291,Anglia Ruskin University,75,645,425,"1,145",110,15,155,275,75,20,45,140,5,"1,565"
10041898,Apex College London,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10005451,Arden University,0,0,5,5,0,0,10,10,0,0,0,5,0,20
10000381,Arts Educational Schools,5,0,15,25,0,0,0,0,0,0,0,0,0,30
10000415,Askham Bryan College,5,10,10,20,5,5,30,40,15,0,10,25,0,90
10007759,Aston University,45,385,255,680,70,5,15,95,30,5,10,45,5,820
10000473,Aylesbury College,0,0,0,5,5,0,0,5,0,0,0,0,0,10
10042364,Ballet West,0,0,5,5,0,0,0,0,0,0,5,5,0,10
10007857,Bangor University,20,275,140,435,55,15,70,140,65,5,60,125,0,705
10000528,Barking and Dagenham College,0,0,5,5,0,5,0,5,0,0,5,5,0,20
10000534,Barnfield College,0,0,0,5,0,0,5,5,0,0,0,5,0,10
10000536,Barnsley College,5,10,0,15,0,0,15,15,10,0,5,15,0,45
10000533,Barnet & Southgate College,0,10,0,15,0,0,10,10,0,0,0,0,0,25
10001465,Bath College,0,5,5,10,0,0,0,0,5,0,5,5,0,15
10000571,Bath Spa University,35,150,225,405,75,10,65,150,80,5,80,165,5,725
10007850,The University of Bath,50,660,425,"1,140",50,10,25,85,20,5,15,35,0,"1,260"
10000610,Bedford College,5,10,25,35,10,5,10,25,20,0,20,45,0,105
10007152,University of Bedfordshire,30,300,140,470,45,10,95,150,55,5,40,100,0,720
10005343,Queen's University Belfast,35,845,305,"1,185",65,10,55,130,85,5,50,140,10,"1,465"
10020680,Belfast Metropolitan College,5,35,35,75,10,5,15,35,30,0,15,45,0,160
10000654,The Berkshire College of Agriculture (BCA),0,0,0,0,0,0,0,0,0,0,0,0,0,5
10000670,Bexhill College,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10037544,BIMM Limited,15,50,180,250,45,20,20,85,50,5,60,115,0,450
10007760,Birkbeck College,10,30,45,85,25,0,10,35,5,0,5,15,0,135
10006442,Birmingham Metropolitan College,0,10,0,10,0,0,0,0,0,0,0,0,0,15
10007140,Birmingham City University,55,785,465,"1,310",150,30,90,270,165,15,100,280,5,"1,860"
10006840,The University of Birmingham,70,"1,085",525,"1,680",130,10,55,200,60,0,50,115,5,"1,995"
10000712,University College Birmingham,30,40,80,150,45,35,75,155,55,5,40,100,0,405
10000720,Bishop Auckland College,0,0,0,0,0,0,0,0,0,0,5,5,0,10
10000894,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000721,Bishop Burton College,5,5,10,15,0,0,20,25,5,5,10,20,0,60
10007811,Bishop Grosseteste University,5,180,30,210,10,5,90,105,10,0,15,25,0,340
10000747,Blackburn College,10,25,45,80,15,0,50,65,15,0,10,25,0,175
10000754,Blackpool and the Fylde College,15,35,50,100,10,5,35,45,10,5,20,35,0,180
10004061,Bloomsbury Institute,10,5,15,25,5,0,5,5,5,0,5,10,0,40
10000794,Bolton College,0,0,0,5,0,0,0,0,0,0,0,0,0,5
10006841,The University of Bolton,10,85,105,205,15,5,60,80,20,5,25,50,0,340
10000812,Boston College,0,10,5,15,0,0,10,15,0,0,5,5,0,30
10000385,The Arts University Bournemouth,15,30,235,280,30,35,45,105,45,5,40,95,0,480
10000820,The Bournemouth and Poole College,0,10,10,15,0,0,0,0,5,0,5,5,0,25
10000824,Bournemouth University,50,495,495,"1,040",95,15,50,160,45,0,50,95,5,"1,305"
10031982,BPP University,15,125,105,245,30,0,10,40,10,0,5,15,0,305
10007785,The University of Bradford,10,365,75,445,40,10,45,90,30,0,25,55,5,595
10000840,Bradford College,5,35,20,60,10,0,20,30,15,5,5,25,0,115
10000886,The University of Brighton,50,700,435,"1,180",115,15,70,200,90,10,65,165,0,"1,545"
10004736,Greater Brighton Metropolitan College,5,10,20,35,5,5,5,15,10,0,15,25,0,75
10000936,The University College of Osteopathy,0,15,0,20,0,0,0,0,0,0,0,0,0,20
10001467,City of Bristol College,0,5,15,20,0,0,15,15,0,0,0,5,0,40
10007786,The University of Bristol,50,830,460,"1,340",95,10,55,160,35,5,50,90,5,"1,600"
10000878,Bridgwater and Taunton College,10,10,15,35,5,5,15,25,5,0,10,20,0,80
