UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10008071,AA School of Architecture,,0,0,,"3,409",0,101,"3,510"
10007783,The University of Aberdeen,,"6,206","6,206",,"10,255","9,092","1,751","27,304"
10007849,Abertay University,,"1,136","1,136",,"1,777","1,500",0,"4,413"
10007856,Aberystwyth University,,"1,356","1,356",,"5,695","6,819",0,"13,870"
10000163,AECC University College,,310,310,,716,175,0,"1,201"
10032036,Amity Global Education,,0,0,,212,0,0,212
10000291,Anglia Ruskin University,,"3,799","3,799",,"9,619","7,414","2,027","22,859"
10007759,Aston University,,"4,743","4,743",,"5,667","7,159",0,"17,569"
10007857,Bangor University,,"2,423","2,423",,"6,639","8,315","1,126","18,503"
10000571,Bath Spa University,,"2,367","2,367",,"4,972","2,382","2,524","12,245"
10007850,The University of Bath,,"6,898","6,898",,"12,737","18,276","3,998","41,909"
10007152,University of Bedfordshire,,"1,440","1,440",,"5,008","6,050",0,"12,498"
10005343,Queen's University Belfast,,"6,452","6,452",,"17,763","15,869",0,"40,084"
10007760,Birkbeck College,,"2,778","2,778",,"14,389",0,0,"17,167"
10007140,Birmingham City University,,"2,658","2,658",,"14,041","17,372",0,"34,071"
10006840,The University of Birmingham,,"15,859","15,859",,"26,458","34,324",0,"76,641"
10000712,University College Birmingham,,"1,288","1,288",,"2,915",104,0,"4,307"
10000894,Bristol Baptist College,,0,0,,48,0,0,48
10007811,Bishop Grosseteste University,,513,513,,733,691,0,"1,937"
10006841,The University of Bolton,,"2,412","2,412",,"4,533","3,660",656,"11,261"
10000385,The Arts University Bournemouth,,452,452,,"3,787",823,"1,682","6,744"
10000824,Bournemouth University,,"2,982","2,982",,"8,131","4,685",0,"15,798"
10007785,The University of Bradford,,"4,247","4,247",,"4,506","5,841",0,"14,594"
10000886,The University of Brighton,,"5,983","5,983",,"14,473","4,360","1,219","26,035"
10000936,The University College of Osteopathy,,61,61,,662,170,193,"1,086"
10007786,The University of Bristol,,"20,804","20,804",,"21,642","28,121",0,"70,567"
10000961,Brunel University London,,"2,794","2,794",,"18,544","7,760",0,"29,098"
10000975,Buckinghamshire New University,,366,366,,"5,183","2,926",0,"8,475"
10007788,The University of Cambridge,,"18,374","18,374",,"69,824","54,710",0,"142,908"
10003324,The Institute of Cancer Research,,"2,757","2,757",,"8,399","2,692",0,"13,848"
10001143,Canterbury Christ Church University,,"2,722","2,722",,"7,186","4,260","1,344","15,512"
10007814,Cardiff University,,"6,013","6,013",,"27,552","13,864",0,"47,429"
10007854,Cardiff Metropolitan University,,"1,801","1,801",,"4,140","2,854",0,"8,795"
10007141,The University of Central Lancashire,,"4,930","4,930",,"11,345","4,154",0,"20,429"
10007848,University of Chester,,"3,056","3,056",,"7,024","3,161",532,"13,773"
10007137,The University of Chichester,,"1,618","1,618",,"2,125","2,148",0,"5,891"
10001386,Chicken Shed Theatre Company,,0,0,,247,0,0,247
10026921,Christ the Redeemer College,,0,0,,0,36,25,61
10001478,"City, University of London",,"4,549","4,549",,"18,154",0,0,"22,703"
10001653,Conservatoire for Dance and Drama,,0,0,,69,0,0,69
10007761,Courtauld Institute of Art,,171,171,,"4,685",827,0,"5,683"
10001726,Coventry University,,"5,731","5,731",,"22,528","8,253",6,"36,518"
10007822,Cranfield University,,"4,831","4,831",,"10,623",0,0,"15,454"
10006427,University for the Creative Arts,,"1,311","1,311",,"5,453","1,197",0,"7,961"
10007842,University of Cumbria,,"1,357","1,357",,"3,687","1,940",0,"6,984"
10001883,De Montfort University,,"6,207","6,207",,"9,787","7,461",0,"23,455"
10007851,University of Derby,,"5,107","5,107",,"7,201","8,447",392,"21,147"
10007852,The University of Dundee,,"4,793","4,793",,"11,429","10,085",110,"26,417"
10007143,University of Durham,,"5,831","5,831",,"18,067","18,612","12,208","54,718"
10007789,The University of East Anglia,,"9,036","9,036",,"13,286","11,863","4,252","38,437"
10007144,The University of East London,,"2,992","2,992",,"9,361",0,0,"12,353"
10007823,Edge Hill University,,"3,195","3,195",,"6,638","3,738",0,"13,571"
10007772,Edinburgh Napier University,,"2,573","2,573",,"3,738","4,146",0,"10,457"
10007790,The University of Edinburgh,,"24,355","24,355",,"41,090","37,613",0,"103,058"
10022047,Empire College London Limited,,0,0,,0,0,0,0
10007791,The University of Essex,,"5,262","5,262",,"10,938","8,522","13,570","38,292"
10008173,University College of Estate Management,,0,0,,581,167,0,748
10007792,The University of Exeter,,"9,926","9,926",,"23,442","18,942","5,564","57,874"
10008640,Falmouth University,,3,3,,"6,961","2,661",641,"10,266"
10004511,The National Film and Television School,,85,85,,"1,449",71,0,"1,605"
10042500,Global Banking School Limited,,0,0,,40,0,0,40
10007762,Glasgow Caledonian University,,"2,510","2,510",,"7,710","4,318",0,"14,538"
10002681,Glasgow School of Art,,"1,697","1,697",,"2,929","1,966",0,"6,592"
10007794,The University of Glasgow,,"15,254","15,254",,"38,097","21,803",0,"75,154"
10007145,University of Gloucestershire,,"2,158","2,158",,"4,277",0,691,"7,126"
10007833,Glyndŵr University,,768,768,,"3,059",965,0,"4,792"
10002718,Goldsmiths College,,"3,702","3,702",,"8,600","7,516",426,"20,244"
10007146,The University of Greenwich,,"1,815","1,815",,"15,363","4,310",564,"22,052"
10007825,Guildhall School of Music and Drama,,"1,530","1,530",,"3,326",0,0,"4,856"
10040812,Harper Adams University,,717,717,,"2,680",364,0,"3,761"
10080811,Hartpury University,,"1,271","1,271",,"2,526",0,0,"3,797"
10007764,Heriot-Watt University,,"3,564","3,564",,"15,304","5,777",0,"24,645"
10007147,University of Hertfordshire,,"1,838","1,838",,"19,523","9,694","2,363","33,418"
10007148,The University of Huddersfield,,"4,208","4,208",,"9,493","5,090",0,"18,791"
10007149,The University of Hull,,"4,784","4,784",,"7,099","10,754","2,089","24,726"
10003270,"Imperial College of Science, Technology and Medicine",,"16,014","16,014",,"65,519","53,771",0,"135,304"
10035638,Institute of Contemporary Music Performance,,0,0,,871,86,0,957
10007767,Keele University,,"5,490","5,490",,"9,360","3,975",0,"18,825"
10007150,The University of Kent,,"6,179","6,179",,"15,931","13,164","2,228","37,502"
10003645,King's College London,,"13,101","13,101",,"90,494","34,232",0,"137,827"
10003678,Kingston University,,"7,493","7,493",,"11,353","6,116",0,"24,962"
10003758,LAMDA Limited,,175,175,,728,989,189,"2,081"
10007768,The University of Lancaster,,"7,318","7,318",,"13,010","8,273","3,133","31,734"
10003854,Leeds Arts University,,918,918,,"1,744",637,56,"3,355"
10003861,Leeds Beckett University,,"4,933","4,933",,"13,288","21,945",0,"40,166"
10034449,Leeds College of Music,,0,0,,"1,405",0,0,"1,405"
10007795,The University of Leeds,,"13,616","13,616",,"37,084","29,125",0,"79,825"
10003863,Leeds Trinity University,,669,669,,914,"1,451",0,"3,034"
10007796,The University of Leicester,,"7,863","7,863",,"14,881","10,980","1,828","35,552"
10007151,The University of Lincoln,,"2,025","2,025",,"15,316","5,605","1,887","24,833"
10003956,Liverpool Hope University,,"2,419","2,419",,"3,731","2,518",54,"8,722"
10003957,Liverpool John Moores University,,"6,405","6,405",,"14,357","5,536","2,705","29,003"
10003945,The Liverpool Institute for Performing Arts,,411,411,,522,805,0,"1,738"
10006842,The University of Liverpool,,"9,353","9,353",,"27,006","27,994","10,029","74,382"
10003958,Liverpool School of Tropical Medicine,,643,643,,"3,305",0,0,"3,948"
10007162,"University of the Arts, London",,"6,261","6,261",,"31,112","3,117",0,"40,490"
10007769,London Business School,,"1,919","1,919",,"11,937",0,0,"13,856"
10007797,University of London (Institutes and activities),,"1,789","1,789",,"12,000","3,424",-33,"17,180"
10023434,London School of Commerce & IT Limited,,0,0,,7,0,0,7
10004048,London Metropolitan University,,372,372,,"12,750","3,810",0,"16,932"
10032594,London School of Academics Ltd,,0,0,,81,5,0,86
10004078,London South Bank University,,"2,650","2,650",,"12,342","6,060","1,079","22,131"
