UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10007783,The University of Aberdeen,238,"9,409","9,647",,"2,944",86,,"12,677"
10007849,Abertay University,0,"4,090","4,090",,"1,256",0,,"5,346"
10007856,Aberystwyth University,135,945,"1,080",,"3,675",11,,"4,766"
10000163,AECC University College,96,"1,311","1,407",,"1,180",0,,"2,587"
10000291,Anglia Ruskin University,"1,333","9,655","10,988",,"8,936",0,,"19,924"
10007759,Aston University,827,"7,267","8,094",,"3,361",348,,"11,803"
10007857,Bangor University,"1,009","7,484","8,493",,"1,804",7,,"10,304"
10000571,Bath Spa University,0,"6,318","6,318",,"1,829",26,,"8,173"
10007850,The University of Bath,764,"12,414","13,178",,"4,684",0,,"17,862"
10007152,University of Bedfordshire,37,"6,325","6,362",,"2,647",191,,"9,200"
10005343,Queen's University Belfast,440,"13,521","13,961",,"8,589",12,,"22,562"
10007760,Birkbeck College,633,"8,714","9,347",,"4,925",110,,"14,382"
10007140,Birmingham City University,17,"4,383","4,400",,"5,163",0,,"9,563"
10006840,The University of Birmingham,0,"21,044","21,044",,"10,064","2,298",,"33,406"
10000712,University College Birmingham,312,"3,009","3,321",,"2,235",0,,"5,556"
10007811,Bishop Grosseteste University,426,"2,499","2,925",,"1,821",0,,"4,746"
10006841,The University of Bolton,532,"1,549","2,081",,762,0,,"2,843"
10000385,The Arts University Bournemouth,471,"3,650","4,121",,"2,379",0,,"6,500"
10000824,Bournemouth University,"2,624","7,226","9,850",,"2,283",57,,"12,190"
10007785,The University of Bradford,164,"11,941","12,105",,"3,849",0,,"15,954"
10000886,The University of Brighton,0,"11,112","11,112",,"5,220",0,,"16,332"
10000936,The University College of Osteopathy,0,728,728,,333,59,,"1,120"
10007786,The University of Bristol,0,"23,243","23,243",,"18,029",68,,"41,340"
10000961,Brunel University London,903,"15,738","16,641",,"11,961",0,,"28,602"
10000975,Buckinghamshire New University,416,"3,141","3,557",,"4,297",91,,"7,945"
10007787,The University of Buckingham,322,988,"1,310",,"2,049",0,,"3,359"
10007788,The University of Cambridge,"1,694","62,501","64,195",,"15,661",15,,"79,871"
10003324,The Institute of Cancer Research,0,"7,626","7,626",,"2,960",66,,"10,652"
10001143,Canterbury Christ Church University,958,"12,105","13,063",,"1,811","1,622",,"16,496"
10007814,Cardiff University,"1,527","19,109","20,636",,"7,392",962,,"28,990"
10007854,Cardiff Metropolitan University,"1,045","3,602","4,647",,"1,044",15,,"5,706"
10007141,The University of Central Lancashire,74,"15,315","15,389",,"5,132",152,,"20,673"
10007848,University of Chester,134,"5,430","5,564",,"4,324",301,,"10,189"
