UKPRN,HE Provider,"Managers, directors and senior officials",Professional occupations,Associate professional and technical occupations,Clerical and manual occupations,Total academic staff (excluding atypical)
10007783,The University of Aberdeen,0,"1,160",5,0,"1,160"
10007849,Abertay University,0,195,0,0,200
10007856,Aberystwyth University,0,510,5,0,515
10067853,ACM Guildford Limited*,0,20,0,0,20
10000163,AECC University College*,0,40,0,0,40
10032036,Amity Global Education*,0,0,0,0,0
10000291,Anglia Ruskin University,10,720,15,0,745
10005451,Arden University*,0,55,0,0,55
10007759,Aston University,0,845,0,0,845
10007857,Bangor University,5,720,20,0,745
10000571,Bath Spa University,0,375,0,0,375
10007850,The University of Bath,0,"1,300",0,0,"1,300"
10007152,University of Bedfordshire,0,480,0,0,480
10005343,Queen's University Belfast,0,"1,875",45,0,"1,920"
10037544,BIMM Limited*,0,260,0,0,260
10007760,Birkbeck College,0,585,0,0,585
10007140,Birmingham City University*,5,"1,385",25,0,"1,420"
10006840,The University of Birmingham*,15,"3,415",85,0,"3,510"
10000712,University College Birmingham,0,265,0,0,270
10007811,Bishop Grosseteste University,0,100,0,0,105
10006841,The University of Bolton*,0,340,30,0,370
10000385,The Arts University Bournemouth,0,235,0,0,235
10000824,Bournemouth University,0,775,0,0,775
10007785,The University of Bradford,0,475,0,0,480
10000886,The University of Brighton,0,990,0,0,995
10000936,The University College of Osteopathy*,5,35,0,0,40
10007786,The University of Bristol,0,"3,080",0,0,"3,080"
10000961,Brunel University London,10,910,0,0,920
10000975,Buckinghamshire New University*,0,285,20,0,305
10007787,The University of Buckingham*,5,135,0,0,145
10007788,The University of Cambridge,10,"5,775",0,0,"5,785"
10003324,The Institute of Cancer Research,0,645,15,0,660
10001143,Canterbury Christ Church University,5,625,0,0,625
10007814,Cardiff University,35,"2,860",10,0,"2,910"
10007854,Cardiff Metropolitan University,0,525,0,0,525
10007141,The University of Central Lancashire,0,"1,420",20,0,"1,445"
10007848,University of Chester,5,595,0,0,600
10007137,The University of Chichester*,0,295,0,0,295
10001386,Chicken Shed Theatre Company*,0,0,25,0,25
10001478,"City, University of London",0,965,5,0,970
10007912,Cliff College*,0,10,0,0,10
10001653,Conservatoire for Dance and Drama*,0,90,0,0,90
10007761,Courtauld Institute of Art*,0,45,0,0,45
