UKPRN,HE provider,Total full-time entrants,Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),+/-
10008071,AA School of Architecture,5,0,,,,
10007783,The University of Aberdeen,"1,365",60,4.4,3.9,0.6,
10007849,Abertay University,825,100,12.1,6.7,0.96,-
10007856,Aberystwyth University,"1,255",50,4.1,7,0.62,
10067853,ACM Guildford Limited,435,70,16.4,10.4,1.49,-
10000248,Academy of Live and Recorded Arts,40,5,9.5,9,3.96,
10000163,AECC University College,75,5,4,7.9,2.57,
10032036,Amity Global Education,5,0,,,,
10000291,Anglia Ruskin University,"2,005",205,10.3,9.4,0.6,
10041898,Apex College London,0,0,,,,
10005451,Arden University,385,150,38.2,20,2,-
10000381,Arts Educational Schools,65,0,1.5,8.1,2.42,
10003212,Hult International Business School Ltd,0,0,,,,
10007759,Aston University,"2,570",95,3.7,6.8,0.43,+
10007857,Bangor University,"1,440",95,6.5,7.1,0.64,
10000571,Bath Spa University,"1,610",115,7.3,8,0.62,
10007850,The University of Bath,"2,450",45,1.9,3.1,0.4,
10007152,University of Bedfordshire,"1,125",235,20.9,12.6,0.98,-
10005343,Queen's University Belfast,"3,125",135,4.3,4.1,0.4,
10037544,BIMM Limited,"1,135",155,13.8,10.7,0.86,-
10007760,Birkbeck College,315,35,10.9,9.1,1.51,
10007140,Birmingham City University,"4,545",415,9.2,9.2,0.39,
10006840,The University of Birmingham,"5,140",125,2.4,3.4,0.28,
10000712,University College Birmingham,320,30,9.4,10,1.47,
10000894,Bristol Baptist College,0,0,,,,
10007811,Bishop Grosseteste University,380,35,9.5,8,1.34,
10004061,Bloomsbury Institute,220,70,31.8,26.5,2.27,
10006841,The University of Bolton,780,115,14.7,11.6,1.06,
10000385,The Arts University Bournemouth,750,40,5.1,7,0.84,
10000824,Bournemouth University,"3,160",260,8.2,8.2,0.46,
10031982,BPP University,15,5,,,,
10007785,The University of Bradford,"1,460",110,7.7,8.6,0.66,
10000886,The University of Brighton,"2,975",265,9,7.6,0.48,
10000936,The University College of Osteopathy,30,5,14.3,8.6,5.19,
10007786,The University of Bristol,"4,460",100,2.2,2.9,0.3,
10028216,Brit College,0,0,,,,
10023464,Trinity College Bristol,0,0,,,,
10000961,Brunel University London,"2,755",180,6.5,7.4,0.46,
10000975,Buckinghamshire New University,"1,325",195,14.6,11.6,0.83,-
10007787,The University of Buckingham,175,10,5.7,6.8,1.74,
10022021,UK College of Business and Computing,20,15,,,,
10019368,London College of Business Studies,0,0,,,,
10010308,Cambridge Arts and Sciences Limited,10,0,,,,
10007788,The University of Cambridge,"2,460",20,0.8,1.9,0.36,
10032072,The Cambridge Theological Federation,5,0,,,,
10003324,The Institute of Cancer Research,0,0,,,,
10001143,Canterbury Christ Church University,"2,105",235,11.2,9.6,0.6,
10007814,Cardiff University,"4,845",165,3.4,4.5,0.31,
10007854,Cardiff Metropolitan University,"1,850",195,10.6,9.3,0.64,
10007141,The University of Central Lancashire,"2,735",330,12.1,9.5,0.54,
10024024,Central Film School London,0,0,,,,
10007848,University of Chester,"2,040",185,9.2,7.9,0.58,
10007137,The University of Chichester,"1,000",75,7.6,8.8,0.79,
10001386,Chicken Shed Theatre Company,10,0,,,,
10001546,The College of Integrated Chinese Medicine,0,0,,,,
10001419,Christie's Education Limited,0,0,,,,
10026921,Christ the Redeemer College,0,0,,,,
10010213,The City College,0,0,,,,
10001478,"City, University of London","2,175",165,7.7,6.3,0.54,
10007912,Cliff College,5,0,,,,
10001653,Conservatoire for Dance and Drama,135,5,5.1,7.8,1.98,
10007761,Courtauld Institute of Art,45,0,4.7,3.3,3.41,
10034324,Court Theatre Training Company Ltd,10,0,,,,
10001726,Coventry University,"4,400",340,7.7,8.4,0.38,
10007822,Cranfield University,0,0,,,,
10006427,University for the Creative Arts,975,65,6.8,7.6,0.79,
10007842,University of Cumbria,815,75,9,8.7,0.92,
10001883,De Montfort University,"5,215",475,9.1,9.2,0.36,
10007851,University of Derby,"2,495",255,10.3,9.8,0.53,
10007852,The University of Dundee,"1,830",100,5.4,4.7,0.54,
10007143,University of Durham,"3,305",80,2.4,2.8,0.35,
10007789,The University of East Anglia,"3,090",165,5.3,5.4,0.42,
10007144,The University of East London,"1,645",210,12.7,10.4,0.71,
10032282,The Queen's Foundation for Ecumenical Theological Education,0,0,,,,
10007823,Edge Hill University,"2,410",170,7.1,8.5,0.51,
10007772,Edinburgh Napier University,"1,795",185,10.4,6.1,0.63,-
10007790,The University of Edinburgh,"3,545",110,3.2,2.8,0.35,
10022047,Empire College London Limited,0,0,,,,
10007791,The University of Essex,"2,555",210,8.3,7.7,0.51,
10008173,University College of Estate Management,0,0,,,,
10002313,ESCP Europe Business School,0,0,,,,
10007792,The University of Exeter,"4,700",110,2.3,3.5,0.29,
10008640,Falmouth University,"1,550",155,10,8,0.68,
10033187,Fairfield School of Business Ltd,0,0,,,,
10045476,Met Film School Limited,30,0,3.6,7.4,4.04,
10004511,The National Film and Television School,0,0,,,,
10038763,ForMission Ltd,5,0,,,,
10022087,Futureworks,115,15,12.2,8.8,2.68,
10042500,Global Banking School Limited,0,0,,,,
10007762,Glasgow Caledonian University,"2,305",195,8.5,5.5,0.53,
10002681,Glasgow School of Art,235,5,1.3,4.9,1.25,
10007794,The University of Glasgow,"3,160",130,4.1,3.7,0.38,
10007145,University of Gloucestershire,"1,570",115,7.4,8.5,0.63,
