UKPRN,Provider Name,"Less than £15,000","£15,000 - £17,999","£18,000 - £20,999","£21,000 - £23,999","£24,000 - £26,999","£27,000 - £29,999","£30,000 - £32,999","£33,000 - £35,999","£36,000 - £38,999","£39,000+"
10008071,AA School of Architecture,0,0,0,0,0,5,5,0,0,0
10007783,The University of Aberdeen,15,25,60,65,75,45,75,20,15,30
10007849,Abertay University,10,20,45,25,35,10,10,5,0,5
10007856,Aberystwyth University,40,65,80,75,50,30,20,5,5,5
10000093,Accrington and Rossendale College,0,0,0,0,0,0,0,0,0,0
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0
10000163,AECC University College,0,0,0,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,25,85,145,175,295,115,75,25,25,75
10005451,Arden University,0,0,5,10,10,5,0,0,0,5
10000381,Arts Educational Schools,0,0,0,5,0,0,0,0,5,5
10000415,Askham Bryan College,5,5,10,5,5,0,0,0,0,0
10007759,Aston University,15,55,105,105,115,90,90,40,10,45
10000473,Aylesbury College,0,0,0,0,0,0,0,0,0,0
10007857,Bangor University,30,70,115,105,85,30,15,0,5,5
10000528,Barking and Dagenham College,0,0,0,0,0,0,0,0,0,0
10000536,Barnsley College,0,0,5,0,5,0,0,0,0,0
10000533,Barnet & Southgate College,0,0,0,0,0,0,0,0,0,0
10001465,Bath College,0,0,0,0,0,0,0,0,0,0
10000571,Bath Spa University,40,70,120,85,65,25,10,0,0,10
10007850,The University of Bath,10,20,60,80,165,175,215,85,60,105
10007152,University of Bedfordshire,20,55,75,95,145,45,30,5,0,5
10005343,Queen's University Belfast,50,105,250,245,180,115,80,50,20,15
10037544,BIMM Limited,20,35,45,35,10,5,5,0,0,0
10007760,Birkbeck College,0,10,15,25,35,30,15,10,10,35
10006442,Birmingham Metropolitan College,0,0,0,0,0,0,0,0,0,0
10007140,Birmingham City University,50,125,250,350,255,100,75,30,10,20
10006840,The University of Birmingham,30,70,200,255,300,245,250,95,50,105
10000712,University College Birmingham,25,30,45,30,25,5,5,0,0,0
10000894,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0
10000721,Bishop Burton College,5,5,5,5,0,0,0,0,0,0
10007811,Bishop Grosseteste University,20,40,25,65,65,5,0,0,0,0
10000747,Blackburn College,5,15,15,10,10,5,5,0,0,0
10000754,Blackpool and the Fylde College,5,10,15,10,15,0,5,5,5,10
10004061,Bloomsbury Institute,0,5,5,5,5,0,5,0,0,0
10006841,The University of Bolton,15,25,45,20,35,5,10,5,5,5
10000385,The Arts University Bournemouth,20,35,80,60,40,10,10,5,5,5
10000824,Bournemouth University,25,60,175,220,225,130,85,40,15,40
10031982,BPP University,0,5,15,5,5,5,5,5,0,5
10007785,The University of Bradford,15,50,80,80,75,25,30,15,5,15
10000840,Bradford College,5,10,5,15,10,5,5,0,0,0
10000886,The University of Brighton,40,70,175,220,310,130,105,45,30,50
10004736,Greater Brighton Metropolitan College,0,5,10,0,0,0,0,0,0,0
10000936,The University College of Osteopathy,0,0,0,0,5,0,0,0,0,0
10001467,City of Bristol College,0,0,0,0,0,0,0,0,0,0
10007786,The University of Bristol,15,50,125,160,195,205,200,85,50,125
10000878,Bridgwater and Taunton College,0,0,5,5,5,0,0,0,0,0
10023464,Trinity College Bristol,0,0,0,0,5,0,0,0,0,0
10000944,Brockenhurst College,0,0,0,0,0,0,0,0,0,0
10000952,BMC (Brooksby Melton College),0,0,0,0,0,0,0,0,0,0
10000961,Brunel University London,10,30,65,100,125,80,90,30,10,20
10000975,Buckinghamshire New University,10,35,65,80,90,45,35,10,10,35
10007787,The University of Buckingham,0,5,5,5,5,0,5,0,0,0
10001000,Burnley College,0,0,0,0,0,0,0,0,0,0
10001005,Bury College,0,0,0,5,0,0,0,0,0,0
10022021,UK College of Business and Computing,0,0,5,0,0,0,0,0,0,0
10001093,Calderdale College,0,0,0,0,0,0,0,0,0,0
10007788,The University of Cambridge,5,20,35,60,115,120,145,80,50,170
10032072,The Cambridge Theological Federation,0,0,0,0,0,0,0,0,0,0
10001143,Canterbury Christ Church University,45,75,130,200,265,95,60,20,10,15
10007814,Cardiff University,40,105,265,310,430,200,185,60,35,90
10007854,Cardiff Metropolitan University,30,65,110,105,90,30,30,10,5,0
10007141,The University of Central Lancashire,40,140,200,180,250,75,55,25,15,30
10001378,Chesterfield College,0,0,0,0,0,0,0,0,0,0
10007848,University of Chester,50,100,170,140,180,45,35,15,10,10
10007817,Chichester College Group,0,0,0,0,0,0,0,0,0,0
10007137,The University of Chichester,30,60,70,80,75,20,10,5,0,0
10001386,Chicken Shed Theatre Company,5,0,0,0,0,0,0,0,0,0
10001546,The College of Integrated Chinese Medicine,0,0,0,0,0,0,0,0,0,0
10005972,Cheshire College South and West,0,0,0,0,0,0,0,0,0,0
10001478,"City, University of London",15,30,55,60,110,120,60,30,15,25
10001535,Colchester Institute,5,5,5,10,5,0,0,0,0,0
10007912,Cliff College,0,0,0,0,0,0,0,0,0,0
10003955,The City of Liverpool College,0,0,0,0,0,0,0,0,0,0
10013357,The Academy of Contemporary Music,5,5,5,10,0,0,0,0,0,0
10001653,Conservatoire for Dance and Drama,0,5,5,5,0,5,0,0,5,0
10007761,Courtauld Institute of Art,0,0,5,0,0,0,0,0,0,0
10034324,Court Theatre Training Company Ltd,0,0,0,0,0,0,0,0,0,0
10003010,Coventry College,0,0,0,0,0,0,0,0,0,0
10001726,Coventry University,25,85,165,255,265,135,110,30,15,35
10001743,Craven College,0,5,5,0,0,0,0,0,0,0
10006427,University for the Creative Arts,15,35,65,50,30,10,5,0,0,5
10001696,Cornwall College,5,5,10,5,5,0,0,0,0,0
10001778,Croydon College,0,0,0,0,0,0,0,0,0,0
10007842,University of Cumbria,20,30,40,80,140,35,25,5,5,15
10001883,De Montfort University,35,75,175,135,145,45,55,20,10,15
10001919,Derby College,0,0,0,0,0,0,0,5,0,10
10007851,University of Derby,45,115,195,185,170,55,40,30,10,35
10004695,DN Colleges Group,5,5,15,15,10,0,0,0,0,0
10007852,The University of Dundee,20,35,75,135,130,65,70,50,20,35
10007143,University of Durham,15,40,90,130,185,185,145,60,40,65
10007789,The University of East Anglia,30,50,140,240,200,90,90,40,20,40
