HE provider,Continuation %,Average Salary,Academic Services Expenditure per Student,Facilities Expenditure per Student,Student/Staff Ratio,% Graduates in High Skilled Work,% Satisfied with Teaching,% Satisfied with Course,% Satisfied with Assessment,Subjects
The University of Aberdeen,95.6,26470.0,1507.0,1651.0,13.1,39.7,88.2,86.9,70.8,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Abertay University,87.9,22909.0,1002.0,2664.0,21.4,36.5,92.30000000000001,90.0,82.89999999999999,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Design, and creative and performing arts']"
Aberystwyth University,95.9,21960.0,1735.0,1423.0,15.0,29.0,90.0,88.7,81.69999999999999,"['Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Anglia Ruskin University,89.7,25413.0,778.0,1594.0,35.9,48.8,86.8,81.5,74.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Aston University,96.3,25947.0,1177.0,1598.0,18.2,56.0,83.3,83.6,69.89999999999999,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies']"
Bangor University,93.5,21929.0,1116.0,1845.0,13.3,31.8,86.4,86.4,76.4,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Bath Spa University,92.7,21370.0,1313.0,1985.0,22.5,36.5,82.1,79.0,69.3,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Computing', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Bath,98.1,29430.0,1542.0,1906.0,14.3,58.2,89.60000000000001,88.9,67.9,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Business and management', 'Language and area studies', 'Combined and general studies']"
University of Bedfordshire,79.1,23368.0,874.0,1273.0,34.8,42.7,79.60000000000001,73.3,69.89999999999999,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Queen's University Belfast,95.7,23709.0,1166.0,1934.0,13.0,48.5,83.7,77.5,64.60000000000001,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
BIMM Limited,86.2,19983.0,,,,37.0,83.0,77.4,75.9,"['Business and management', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Birkbeck College,89.1,28783.0,905.0,2659.0,19.5,32.1,84.7,78.5,70.7,"['Biological and sport sciences', 'Psychology', 'Mathematical sciences', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Birmingham City University,90.8,23294.0,1187.0,1017.0,,46.1,85.6,82.0,76.0,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Birmingham,97.6,26873.0,2133.0,2039.0,,52.9,86.0,83.5,64.8,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
University College Birmingham,90.6,20363.0,801.0,2417.0,18.3,21.1,85.1,84.2,79.60000000000001,"['Subjects allied to medicine', 'Biological and sport sciences', 'Agriculture, food and related studies', 'Social sciences', 'Business and management', 'Education and teaching', 'Design, and creative and performing arts']"
Bishop Grosseteste University,90.5,21409.0,1302.0,3911.0,21.7,47.7,85.39999999999999,85.0,79.9,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Social sciences', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Design, and creative and performing arts']"
Bloomsbury Institute,68.2,,,,,29.4,89.9,92.7,83.39999999999999,"['Law', 'Business and management']"
The University of Bolton,85.3,22764.0,964.0,1172.0,,35.7,89.60000000000001,85.0,81.10000000000001,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The Arts University Bournemouth,94.9,22083.0,1346.0,3678.0,14.7,37.8,,,,[]
Bournemouth University,91.8,24975.0,1371.0,1401.0,22.4,57.8,86.2,82.19999999999999,74.8,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Bradford,92.3,23769.0,1245.0,3238.0,20.4,40.3,76.5,71.5,66.5,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Brighton,91.0,25244.0,1265.0,1616.0,19.1,52.1,84.3,77.5,68.4,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Bristol,97.8,28004.0,1512.0,3288.0,8.9,49.4,86.8,81.2,65.2,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Education and teaching', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Brunel University London,93.5,26169.0,1099.0,3955.0,16.9,45.7,77.10000000000001,75.1,64.9,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Buckinghamshire New University,85.4,25445.0,566.0,1509.0,,51.7,87.5,86.3,78.5,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Engineering and technology', 'Computing', 'Social sciences', 'Business and management', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Buckingham,94.3,,827.0,2167.0,,23.3,88.6,89.4,73.8,"['Medicine and dentistry', 'Psychology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies']"
The University of Cambridge,99.2,30778.0,2531.0,7245.0,3.7,51.5,88.1,82.6,66.4,['Medicine and dentistry']
Canterbury Christ Church University,88.8,23991.0,1143.0,2203.0,21.3,51.2,84.89999999999999,78.60000000000001,75.1,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Cardiff University,96.6,25500.0,1459.0,1802.0,11.4,53.3,84.1,79.10000000000001,68.2,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Cardiff Metropolitan University,89.4,22436.0,1458.0,1052.0,20.8,40.8,86.5,84.0,76.0,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Business and management', 'Language and area studies', 'Education and teaching', 'Design, and creative and performing arts']"
The University of Central Lancashire,87.9,23465.0,1505.0,1734.0,17.1,44.5,83.1,80.80000000000001,76.4,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
University of Chester,90.8,22678.0,1565.0,1561.0,22.6,41.1,85.9,87.4,77.10000000000001,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Chichester,92.4,21642.0,905.0,1608.0,,44.1,88.0,85.7,78.10000000000001,"['Biological and sport sciences', 'Psychology', 'Mathematical sciences', 'Computing', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
"City, University of London",92.3,26596.0,1474.0,2456.0,20.6,45.9,75.5,70.0,63.7,"['Subjects allied to medicine', 'Psychology', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Conservatoire for Dance and Drama,94.9,,,1944.0,,45.3,93.5,92.30000000000001,75.0,"['Design, and creative and performing arts']"
